Model,Val_Acc,Val_Prec,Val_Rec,Val_F1,Val_AUC,Test_Acc,Test_Prec,Test_Rec,Test_F1,Test_AUC
Logistic Regression,0.8860074885591458,0.4288990825688073,0.8820754716981132,0.5771604938271605,0.962345965755554,0.8845513798363611,0.4248565965583174,0.8734276729559748,0.571649086699254,0.9591154913073631
Decision Tree,0.899944529191513,0.4640605296343001,0.8679245283018868,0.6047658175842235,0.9705582657770765,0.8988351130217723,0.46125155408205554,0.875,0.6040705563093622,0.9711772126168783
Random Forest,0.9199833587574539,0.5279091769157994,0.8773584905660378,0.6591848789131719,0.9741915070425902,0.9190819581195396,0.5252768415984593,0.8577044025157232,0.6515377724693938,0.9739788244015593
